;Tweets;Text_tokens;Text_tokens_fdist
0;husnan;['husnan'];<FreqDist with 1 samples and 1 outcomes>
1;filihan yang terbaik;['filihan', 'yang', 'terbaik'];<FreqDist with 3 samples and 3 outcomes>
2;jangan merokok yaa mending deketin aku aja soalnya kan rokok membunuhmu sedangkan aku ya mencintaimu;['jangan', 'merokok', 'yaa', 'mending', 'deketin', 'aku', 'aja', 'soalnya', 'kan', 'rokok', 'membunuhmu', 'sedangkan', 'aku', 'ya', 'mencintaimu'];<FreqDist with 14 samples and 15 outcomes>
3;sisi kekanakan dari orang dewasa bisa dilihat dari supirsupir truk yang saling klaksonklaksonan di bawah trowonga;['sisi', 'kekanakan', 'dari', 'orang', 'dewasa', 'bisa', 'dilihat', 'dari', 'supirsupir', 'truk', 'yang', 'saling', 'klaksonklaksonan', 'di', 'bawah', 'trowonga'];<FreqDist with 15 samples and 16 outcomes>
4;kamu cok kevr;['kamu', 'cok', 'kevr'];<FreqDist with 3 samples and 3 outcomes>
5;siapapun ngelawak dong pake meme cepat berikan;['siapapun', 'ngelawak', 'dong', 'pake', 'meme', 'cepat', 'berikan'];<FreqDist with 7 samples and 7 outcomes>
6;yuk barengbareng;['yuk', 'barengbareng'];<FreqDist with 2 samples and 2 outcomes>
7;selamat pagi jangan lupa sikat gigi biar mulut tidak bau naga;['selamat', 'pagi', 'jangan', 'lupa', 'sikat', 'gigi', 'biar', 'mulut', 'tidak', 'bau', 'naga'];<FreqDist with 11 samples and 11 outcomes>
8;gelap;['gelap'];<FreqDist with 1 samples and 1 outcomes>
9;artis;['artis'];<FreqDist with 1 samples and 1 outcomes>
10;di umur berapa kalian tau kalau kepanjangan gurita adalah gurih tiada tara;['di', 'umur', 'berapa', 'kalian', 'tau', 'kalau', 'kepanjangan', 'gurita', 'adalah', 'gurih', 'tiada', 'tara'];<FreqDist with 12 samples and 12 outcomes>
11;nangis bgt idung kek teknologi;['nangis', 'bgt', 'idung', 'kek', 'teknologi'];<FreqDist with 5 samples and 5 outcomes>
